m.0gcrgp	Seven Brides for Seven Brothers	m.02vtnf	Stanley Donen	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.01bl7g	Shanghai Knights	m.0ksrw5	David Dobkin	film.film.directed_by
m.08pv67	Fanaa	m.0bkmcp	Kunal Kohli	film.film.directed_by,film.film.edited_by
m.0fy5lvn	Black Bread	m.06_vg2q	Agustí Villaronga	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.written_by,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner
m.03kbgg	The Gambler	m.01dwmw	Karel Reisz	film.film.directed_by
m.02v5r5	Manhunter	m.04y8r	Michael Mann	film.film.directed_by,film.film.written_by
m.065zzr_	Capitalism: A Love Story	m.0jw67	Michael Moore	film.film.personal_appearances..film.personal_film_appearance.person,film.film.written_by,film.film.directed_by,film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.04g73n	Chicken Little	m.05ft7n	Mark Dindal	film.film.directed_by,film.film.starring..film.performance.actor,film.film.other_crew..film.film_crew_gig.crewmember,film.film.story_by
m.0g5r4sy	Another Earth	m.05v9zns	Mike Cahill	film.film.produced_by,film.film.written_by,film.film.cinematography,film.film.directed_by,film.film.edited_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner
m.06zvkw	Houseboat	m.02qdymm	Melville Shavelson	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.written_by,film.film.directed_by
m.09qnl9	Tsotsi	m.0bvkd3	Gavin Hood	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.written_by,film.film.directed_by
m.0c95n8	The Hireling	m.05zmvs_	Alan Bridges	film.film.directed_by
m.0h63h9r	Cloudburst	m.0fdygb	Thom Fitzgerald	film.film.directed_by,film.film.produced_by,film.film.written_by
m.04wzkz	8mm	m.01p6xx	Joel Schumacher	film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.05n3l7	Alpha Dog	m.0615dp	Nick Cassavetes	film.film.written_by,film.film.directed_by
m.0dr3sl	Shrek	m.04bz4n	Andrew Adamson	film.film.directed_by,film.film.starring..film.performance.actor
m.01z452	Being John Malkovich	m.06pk8	Spike Jonze	award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.starring..film.performance.actor,film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.06qsdl	Twilight's Last Gleaming	m.02rwd7	Robert Aldrich	film.film.directed_by
m.0kvgnq	The Unbearable Lightness of Being	m.03kbsw	Philip Kaufman	film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.written_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.04lfftg	Blessed by Fire	m.05h2t2h	Tristán Bauer	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.written_by
m.0kv8_w	Body of Evidence	m.029m0f	Uli Edel	film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.0ch3qr1	Jack & Jill	m.086mp8	Dennis Dugan	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.directed_by
m.04ynd_	Cold Creek Manor	m.05cgy8	Mike Figgis	film.film.music,film.film.directed_by,film.film.produced_by
